 공항별 , 계류장면적(㎡) , 동시주기능력(대) , 주차장면적(㎡) , 동시주차능력(대) 
 김포 ," 1,215,487 "," 143(일반 84, 소형 59) "," 346,789 "," 10,601 "
 김해 ," 389,358 "," 38(일반 35, 소형 3) "," 163,261 "," 5,789 "
 제주 ," 449,113 "," 43(일반 40, 소형 3) "," 100,076 "," 3,135 "
 대구 ," 51,182 ", 9(일반 9) ," 43,191 "," 1,616 "
 울산 ," 33,480 "," 6(일반 4, 소형 2) "," 26,860 ", 577 
 청주 ," 91,047 "," 18(일반 10, 소형 8) "," 111,123 "," 4,138 "
 무안 ," 90,692 "," 48(일반 4, 소형 44) "," 66,990 "," 1,871 "
 광주 ," 44,300 "," 5(일반 5, 소형 0) "," 38,300 ", 948 
 여수 ," 41,868 "," 5(일반 5, 소형 0) "," 25,548 ", 636 
 양양 ," 72,385 "," 26(일반 7, 소형 19) "," 17,327 ", 535 
 포항 ," 32,617 "," 5(일반 5, 소형 0) "," 14,734 ", 498 
 사천 ," 13,140 "," 2(일반 2, 소형 0) "," 9,667 ", 301 
 군산 ," 13,758 "," 2(일반 2, 소형 0) "," 10,421 ", 341 
 원주 ," 6,590 "," 1(일반 1, 소형 0) "," 2,949 ", 135 
