공항별,계류장면적(㎡),동시주기능력(대),주차장면적(㎡),동시주차능력(대)
김포,"1,215,487","144(일반85,소형59)","364,334","11,058"
김해,"389,358","38(일반35,소형3)","168,869","5,450"
제주,"449,393","43(일반40,소형3)","131,626","3,131"
대구,"51,182",9(일반9),"43,191","1,621"
울산,"33,480","6(일반4,소형2)","26,530",565
청주,"91,047","18(일반10,소형8)","106,306","3,523"
무안,"113,094","50(일반6,소형44)","66,990","1,883"
광주,"44,300","5(일반5,소형0)","38,300",949
여수,"41,868","5(일반5,소형0)","25,548",636
양양,"72,385","28(일반7,소형21)","14,734",498
포항,"32,617","5(일반5,소형0)","17,327",432
사천,"13,140","2(일반2,소형0)","9,667",301
군산,"13,758","2(일반2,소형0)","10,421",341
원주,"6,590","1(일반1,소형0)","4,412",173
