DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1027.6,3.7,11.2,-1.2,-6.0,54,25,2.7,6,33,9,3,2.7,,,,5,SC,30
2,1024.1,6.8,12.8,-1.8,-1.3,59,44,4.3,9,12,12,11,5.3,,,800,6,AC,80
3,1016.6,11.6,13.8,9.4,7.7,79,47,5.0,10,15,14,12,8.0,4.0,,90,5,SC,20
4,1019.9,6.7,10.1,-0.5,0.9,69,44,8.4,16,33,23,32,4.9,5.0,,160,6,SC,20
5,1028.2,-0.7,2.3,-4.9,-12.1,43,31,6.9,12,33,16,31,4.5,,,,7,AC,100
6,1024.3,2.0,6.5,-1.3,-8.8,46,35,7.2,17,31,24,30,5.7,0.0,,,7,SC,30
7,1033.3,-6.9,-1.2,-9.5,-19.5,39,24,11.7,18,34,25,34,1.5,,,,,,
8,1034.7,-8.2,-4.7,-11.1,-21.3,37,24,9.3,15,34,23,34,0.8,,,,,,
9,1037.5,-7.5,-2.8,-12.8,-21.0,37,20,3.6,11,35,13,35,2.0,,,,5,AC,150
10,1035.2,-3.6,3.6,-9.9,-13.9,49,23,3.0,9,35,14,33,1.3,,,,6,CI,180
11,1029.3,-0.2,3.8,-4.2,-10.3,49,24,4.1,11,34,15,32,6.1,,,,8,AS,70
12,1030.3,-2.6,1.9,-6.6,-15.4,40,20,5.1,11,33,15,33,0.0,,,,,,
13,1029.9,-2.3,3.2,-7.0,-10.2,57,38,7.0,18,35,24,34,4.0,2.2,2.2,40,7,SC,20
14,1035.9,-5.1,-0.4,-10.0,-14.7,50,30,2.8,7,35,13,1,0.0,,,,,,
15,1033.3,-3.7,2.4,-10.1,-12.6,54,28,2.7,5,32,8,25,1.9,,,800,6,AC,150
16,1021.5,-0.5,3.1,-5.5,-6.5,66,50,4.3,9,17,14,16,6.2,0.6,.6,140,6,SC,20
17,1018.9,0.6,6.3,-5.3,-6.5,63,32,3.8,10,29,15,30,0.9,0.0,,120,5,SC,25
18,1020.6,1.3,8.1,-6.8,-6.0,62,36,3.8,11,27,17,24,1.9,,,180,5,SC,40
19,1021.3,1.5,9.3,-4.3,-6.1,62,27,3.1,6,36,16,24,2.3,,,400,7,CI,200
20,1024.0,1.0,9.4,-4.0,-6.4,61,30,2.8,6,31,11,29,3.3,,,500,7,CI,200
21,1023.6,3.0,9.4,-3.7,-5.2,59,34,2.4,7,33,10,32,6.2,,,500,6,SC,30
22,1023.8,4.4,10.4,-1.3,-3.6,58,32,3.6,8,29,12,30,3.8,,,400,7,SC,30
23,1025.3,2.0,7.6,-4.6,-9.7,45,23,8.0,18,32,24,32,2.0,,,400,7,AC,120
24,1028.6,-2.9,3.1,-7.0,-15.3,41,16,2.8,6,31,10,30,0.3,,,,,,
25,1024.5,-0.3,5.7,-6.1,-8.2,58,39,4.6,8,20,14,20,6.0,0.0,,,7,SC,25
26,1026.3,-2.0,1.7,-7.6,-15.2,41,19,9.2,16,32,22,32,2.9,,,800,7,SC,20
27,1031.4,-9.8,-6.7,-12.8,-25.6,29,19,11.7,18,34,23,32,0.5,,,,,,
28,1033.5,-10.9,-7.0,-14.5,-24.1,36,24,6.9,13,34,18,33,0.3,,,,,,
29,1036.2,-7.7,-3.0,-12.2,-22.7,32,20,7.0,17,32,24,31,0.0,,,,,,
30,1038.4,-7.8,-1.5,-13.3,-19.5,42,23,3.2,6,32,11,35,1.1,,,,5,CI,200
31,1038.1,-6.8,-0.4,-13.8,-16.0,54,23,2.9,7,36,9,34,1.1,,,,,,
