DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1012.6,19.1,23.3,14.8,15.2,79,60,3.8,9,27,13,28,4.1,,,50,8,AS,120
2,1008.9,17.2,23.4,13.0,13.6,80,58,8.5,18,33,29,34,7.4,0.5,,180,6,ST,2
3,1015.1,14.5,17.6,10.2,6.0,57,48,11.1,17,31,29,31,1.8,,,,5,SC,35
4,1018.4,14.7,18.4,9.7,1.9,45,18,9.0,14,27,21,28,0.0,,,,,,
5,1017.2,19.0,24.4,12.4,4.2,39,23,7.7,22,22,34,23,5.4,,,,7,AC,150
6,1006.8,19.7,22.0,17.0,15.2,76,48,13.9,29,20,50,21,8.0,26.0,,250,5,SC,20
7,1005.2,16.6,18.2,15.4,14.1,85,76,10.8,22,7,29,8,7.4,21.5,,80,5,ST,2
8,1012.0,15.8,17.6,13.8,10.3,70,61,16.9,26,8,36,10,6.6,,,800,6,SC,20
9,1021.1,15.2,17.5,13.5,8.3,63,58,11.2,19,7,26,8,5.0,,,,5,SC,35
10,1023.4,15.0,17.7,12.3,9.4,69,63,8.0,16,6,23,6,2.3,,,,6,SC,25
11,1018.8,16.7,20.6,10.6,9.5,64,46,3.9,7,6,9,5,2.8,,,800,5,AC,150
12,1011.1,22.2,25.8,17.8,13.4,58,41,13.1,22,22,36,22,7.3,1.5,,,6,SC,30
13,1009.9,16.2,20.8,13.4,13.6,85,78,6.0,14,24,22,25,4.8,41.0,,100,5,ST,2
14,1012.2,17.8,22.1,13.1,12.9,74,58,3.1,7,4,9,4,1.5,,,350,7,ST,5
15,1010.8,20.7,26.2,15.3,14.3,67,48,2.9,8,7,10,7,5.0,,,350,6,AC,150
16,1007.4,26.3,30.3,21.7,20.0,69,57,10.9,25,21,37,22,3.9,,,,7,AC,120
17,1005.5,26.9,30.2,22.9,19.9,66,57,11.0,21,22,32,23,4.7,,,,6,SC,30
18,1006.5,20.9,24.5,15.8,18.0,84,76,7.9,16,24,23,25,6.9,2.0,,30,6,ST,2
19,1013.4,16.4,18.3,15.0,11.5,73,62,20.5,29,9,38,10,6.8,,,30,5,SC,20
20,1015.3,16.3,18.5,14.8,10.0,67,57,23.0,30,9,42,10,7.0,0.5,,,5,SC,25
21,1016.2,17.5,20.4,15.3,12.9,75,68,17.1,24,7,30,10,7.2,0.0,,800,7,SC,20
22,1011.8,19.5,23.4,16.4,14.5,74,60,7.3,14,7,18,7,6.8,3.0,,420,5,SC,25
23,1008.9,17.0,20.4,13.0,12.2,74,38,6.5,16,26,25,27,4.1,4.5,,350,5,ST,2
24,1011.6,18.2,24.1,11.9,7.3,52,20,2.9,5,21,8,16,4.7,,,,7,CI,160
25,1008.8,19.1,22.2,16.7,11.3,61,34,3.7,9,4,11,4,7.0,0.0,,,5,SC,25
26,1008.4,17.8,23.4,14.2,13.9,78,69,10.6,22,7,27,8,5.2,1.5,,600,5,SC,25
27,1011.0,18.6,22.0,14.5,14.4,77,65,3.4,8,2,10,3,5.3,0.5,,600,5,SC,30
28,1009.8,19.8,24.3,17.4,16.5,82,66,8.6,18,6,23,10,7.5,3.5,,180,6,ST,2
29,1011.5,20.2,23.7,18.2,17.1,82,73,6.2,13,8,17,7,6.3,,,350,7,SC,20
30,1011.6,20.1,23.4,18.3,17.1,83,71,4.8,10,28,16,29,7.0,,,60,5,ST,2
31,1012.9,17.8,19.9,15.2,14.1,79,67,4.3,8,30,12,32,6.3,,,30,7,ST,2
