DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1001.2,19.8,24.3,15.7,17.8,89,71,6.3,13,34,19,34,6.4,,,,4,SC,20
2,1005.3,18.6,23.4,12.3,10.7,63,34,6.8,14,32,20,34,0.8,,,,,,
3,1009.3,18.9,22.6,15.6,10.7,60,42,8.1,14,34,20,33,2.8,,,,5,CI,180
4,1011.8,19.2,25.4,12.8,12.3,67,40,7.9,15,33,22,34,1.6,,,,,,
5,1015.0,21.3,27.8,13.9,10.4,53,30,5.7,12,32,16,32,5.9,,,,6,CI,180
6,1012.1,19.6,22.8,16.8,12.9,69,42,11.2,18,15,25,16,7.8,0.5,,,5,SC,25
7,1007.6,18.6,20.7,17.2,17.0,91,77,9.3,15,15,24,24,7.9,0.0,,,5,SC,25
8,1011.7,19.4,23.1,16.5,16.0,82,63,6.4,12,32,17,31,3.0,,,,6,SC,25
9,1009.9,20.8,26.8,15.2,16.0,78,43,6.0,12,23,16,22,1.9,,,,5,SC,25
10,1007.7,21.9,25.8,19.7,20.6,93,72,5.4,10,22,14,20,7.0,0.0,,,4,SC,20
11,1008.2,21.5,26.2,17.3,16.3,76,37,6.4,13,34,19,34,6.1,0.0,,,4,SC,20
12,1013.9,21.0,26.3,16.3,11.5,59,31,6.1,12,11,17,15,5.6,,,,7,CC,180
13,1014.8,20.4,25.4,16.4,13.3,65,48,5.8,12,33,17,32,4.4,,,,7,AC,130
14,1012.3,19.5,23.9,13.5,15.0,76,60,7.4,16,32,22,32,0.0,,,,,,
15,1010.2,21.2,27.1,16.1,16.9,79,48,4.0,8,34,13,32,3.6,,,,5,ST,10
16,1010.5,22.3,28.3,16.5,16.1,72,41,4.8,9,29,14,29,3.9,,,,6,CI,180
17,1011.0,22.4,29.0,17.4,16.6,72,45,5.0,11,28,15,27,0.6,,,,,,
18,1011.0,22.8,28.9,17.0,15.6,68,37,4.9,11,32,16,31,0.3,,,,,,
19,1009.9,23.2,29.9,16.8,16.9,71,43,4.0,8,29,12,29,4.8,,,,6,CI,180
20,1005.1,22.5,26.7,19.1,17.7,75,60,7.0,15,10,20,9,7.5,0.0,,,7,AC,120
21,1007.0,22.7,25.5,20.4,19.1,80,72,5.5,9,28,13,28,5.3,,,,6,SC,30
22,1009.2,23.2,27.1,20.1,20.0,83,63,5.2,12,34,17,34,4.5,,,,6,ST,10
23,1006.9,24.0,29.4,19.3,19.2,77,54,4.1,8,36,13,29,6.1,,,,5,AC,130
24,1003.4,23.4,29.3,19.8,19.0,78,53,4.8,10,26,15,25,7.4,,,,8,AS,110
25,1002.8,23.4,27.7,19.2,19.8,81,60,4.0,10,23,13,24,7.6,,,,5,SC,30
26,1006.5,22.9,25.8,20.9,21.8,94,70,4.8,9,13,13,9,8.0,22.0,,,5,SC,30
27,1009.9,23.6,28.4,20.3,20.5,84,64,4.8,9,20,13,20,7.6,,,,5,SC,25
28,1012.5,23.9,29.3,19.4,20.6,83,59,4.9,12,23,16,23,5.4,,,,5,AC,120
29,1011.6,23.9,27.9,21.5,20.6,83,59,5.0,11,13,15,12,7.9,0.0,,,5,SC,25
30,1009.2,23.5,27.6,21.7,22.0,92,74,3.6,7,20,10,20,7.6,1.0,,,5,SC,20
