DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1000.3,22.7,27.9,18.8,19.0,81,61,10.9,23,1,37,1,5.8,21.0,,400,5,SC,25
2,1011.5,24.1,28.6,21.2,22.0,88,73,4.6,8,18,11,18,5.2,,,120,5,SC,30
3,1014.1,25.3,29.9,22.0,22.9,88,69,3.5,9,34,11,34,5.3,,,40,5,SC,30
4,1014.7,23.9,30.0,20.3,20.6,83,63,5.0,8,10,10,11,7.1,,,350,7,AC,100
5,1013.3,21.6,24.8,18.0,18.8,84,73,6.3,13,36,15,36,7.4,0.0,,300,5,SC,20
6,1015.1,20.7,26.3,17.1,14.6,69,52,8.9,16,9,21,9,5.1,,,,5,SC,60
7,1016.7,20.8,28.7,13.3,13.7,67,37,5.0,9,8,12,6,0.2,,,,,,
8,1014.8,21.5,27.7,15.1,17.1,78,54,4.3,10,28,12,27,1.5,,,700,,,
9,1011.6,22.7,28.1,18.8,19.0,81,56,3.4,10,27,13,28,3.5,,,320,5,AS,100
10,1012.9,23.0,29.0,17.3,16.6,70,41,3.7,8,33,11,34,2.0,,,350,6,AS,80
11,1014.0,22.6,28.8,17.2,18.4,79,54,3.5,10,28,12,28,1.8,,,140,,,
12,1015.1,18.9,23.4,13.0,17.1,89,80,4.9,12,35,14,35,7.3,0.5,,160,5,ST,15
13,1016.4,17.8,23.4,12.8,14.4,81,60,3.4,7,33,10,34,6.7,,,300,5,SC,20
14,1016.8,19.8,25.4,16.6,15.2,77,51,3.8,8,12,12,14,6.8,0.0,,400,6,AC,100
15,1017.4,17.8,20.2,16.1,14.6,82,69,4.1,9,18,11,17,7.6,0.0,,300,8,AS,90
16,1015.0,17.7,22.8,13.5,12.8,74,52,5.2,12,7,15,6,6.1,0.0,,500,5,SC,30
17,1019.0,18.8,25.9,11.2,11.5,66,35,4.5,10,2,13,34,1.1,,,800,,,
18,1022.5,19.2,27.1,12.7,13.1,72,36,3.3,9,28,12,35,2.3,,,300,5,CI,180
19,1022.2,18.9,26.6,13.2,13.6,75,42,3.1,9,34,13,33,4.5,,,70,5,AC,120
20,1019.7,18.3,24.5,12.6,14.2,79,51,2.9,7,36,9,34,3.3,,,120,5,AC,100
21,1016.6,18.7,24.5,13.8,15.2,81,60,3.7,8,15,11,4,5.7,,,15,6,AS,80
22,1013.8,18.0,24.6,12.8,9.8,64,23,5.1,12,34,16,33,2.1,,,500,6,AC,90
23,1012.9,17.8,25.4,10.3,11.1,69,23,3.4,9,27,12,28,0.5,,,700,,,
24,1017.5,18.0,26.2,10.8,11.3,71,24,3.2,9,28,13,28,0.7,,,5,,,
25,1020.9,18.6,27.0,10.9,11.2,68,26,3.0,8,10,13,11,3.3,,,130,5,CI,180
26,1020.5,19.2,26.5,13.7,12.8,70,38,3.1,7,11,10,32,3.8,,,180,5,CI,180
27,1017.2,18.8,25.8,12.9,12.7,71,44,4.4,11,11,13,13,3.6,,,130,5,AC,120
28,1013.6,18.7,26.1,11.8,12.8,72,43,4.9,16,20,22,22,5.2,5.0,,150,4,CB,20
29,1012.9,18.7,23.5,14.7,14.1,75,48,4.4,12,21,16,21,6.2,2.0,,500,3,SC,20
30,1014.0,17.4,23.7,13.1,13.5,80,50,3.2,11,28,15,30,3.5,0.0,,150,3,SC,30
