DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1014.7,21.8,24.4,19.9,18.2,80,65,4.7,8,9,11,9,3.6,1.5,,,5,SC,30
2,1012.2,20.4,23.6,16.6,16.5,80,65,4.3,7,24,9,24,5.0,,,,5,SC,30
3,1003.6,20.3,22.4,18.6,18.7,91,81,3.6,10,31,14,30,7.5,25.5,,,5,SC,25
4,996.3,21.9,24.0,19.4,18.8,84,56,5.0,14,26,19,26,3.1,6.0,,,4,SC,30
5,999.5,24.5,28.5,21.1,13.1,50,37,9.9,17,27,25,29,0.8,,,,,,
6,1003.3,24.5,29.1,21.3,14.2,53,40,7.8,14,26,19,24,5.9,,,,5,AC,100
7,1003.3,22.6,26.2,18.3,14.6,62,45,7.8,18,24,24,23,5.5,0.0,,,5,AC,100
8,1013.5,20.0,24.6,16.2,11.1,58,40,5.5,9,24,10,25,1.0,,,,,,
9,1018.5,19.0,23.6,15.5,14.1,74,58,7.0,14,5,20,3,4.9,6.5,,,5,SC,25
10,1023.2,18.9,22.3,14.6,13.7,74,56,6.3,12,8,16,8,3.2,0.5,,,6,SC,30
11,1023.7,18.1,22.4,14.3,13.1,73,61,5.5,9,8,13,10,5.9,,,,6,AS,120
12,1020.7,18.8,22.7,15.7,14.4,76,61,4.1,7,25,8,25,6.2,,,,6,SC,30
13,1018.9,19.1,22.2,16.1,16.7,86,75,3.7,6,24,8,5,6.0,,,,7,CI,180
14,1018.1,20.2,23.2,16.7,18.4,90,81,3.3,7,29,8,28,7.5,1.5,,,6,SC,30
15,1015.1,20.4,22.5,18.8,19.4,94,82,3.2,8,15,10,12,8.0,1.0,,,5,SC,30
16,1014.1,22.1,23.8,20.1,19.3,85,68,4.4,12,25,16,25,7.3,0.0,,,3,SC,30
17,1016.2,21.8,25.5,17.3,15.3,67,53,5.4,12,24,15,23,0.7,,,,,,
18,1016.8,20.0,23.7,16.9,15.0,74,56,4.8,9,2,13,1,4.6,,,,6,AC,120
19,1015.0,20.0,22.9,15.7,16.9,83,70,4.4,8,9,10,10,4.7,0.5,,,7,AS,120
20,1013.5,17.8,19.4,16.7,17.3,97,91,3.8,7,20,9,21,8.0,25.5,,,6,SC,25
21,1011.9,17.4,18.2,16.4,17.0,98,94,4.1,11,9,15,9,8.0,23.0,,,6,SC,25
22,1012.8,21.6,25.7,17.2,12.3,58,37,5.9,12,25,18,28,2.1,,,,,,
23,1015.0,19.7,24.5,16.8,9.1,51,37,5.0,12,22,16,22,4.2,,,,6,SC,30
24,1017.8,17.4,23.0,13.4,8.5,58,35,6.2,12,27,16,29,1.6,,,,,,
25,1021.1,17.0,21.1,12.3,10.9,68,52,6.0,12,9,16,9,4.1,0.0,,,5,SC,25
26,1022.4,16.6,20.6,14.1,11.4,73,54,4.8,8,26,11,5,6.7,0.0,,,6,SC,25
27,1020.9,16.1,20.6,13.1,11.0,73,52,5.6,9,26,13,3,3.3,2.0,,,6,SC,30
28,1020.1,16.1,20.4,12.7,11.8,76,61,5.4,9,25,11,24,6.2,,,,5,SC,50
29,1016.1,17.2,21.7,12.9,13.4,79,59,4.7,7,5,9,5,2.0,,,,5,SC,40
30,1004.3,18.2,22.1,14.8,12.1,69,43,7.5,22,28,29,28,2.0,,,,,,
