DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1007.4,23.5,27.0,21.6,17.4,71,40,6.8,11,28,24,35,3.8,,,20,9,FG,3
2,1011.5,23.8,28.0,21.2,15.8,63,33,6.8,11,26,25,36,2.7,,,120,5,CI,160
3,1014.5,23.3,26.8,19.5,14.7,60,33,4.3,9,14,13,17,5.4,,,700,7,AC,80
4,1014.0,24.8,29.3,21.2,18.3,68,49,4.0,8,30,20,30,4.8,0.2,,200,8,AS,90
5,1012.1,25.1,29.9,20.4,17.8,66,43,7.2,13,35,23,27,4.7,3.7,,300,5,SC,25
6,1007.8,24.4,28.8,19.2,17.6,67,51,5.5,10,5,14,6,4.0,0.1,,350,5,SC,40
7,998.1,20.4,24.6,18.7,18.2,88,72,11.3,25,4,34,5,7.7,59.6,,110,5,ST,8
8,1008.7,21.6,24.7,18.2,16.0,71,55,7.0,16,30,30,36,4.8,,,700,8,AS,90
9,1015.2,23.0,26.9,19.7,17.2,71,49,4.3,9,28,23,33,3.8,,,,7,CI,160
10,1020.0,22.5,26.8,18.9,16.2,69,47,6.8,12,3,22,5,4.9,,,25,7,AC,120
11,1019.6,17.9,19.9,16.4,14.8,83,67,10.3,18,4,25,6,7.9,41.3,,140,6,SC,25
12,1012.7,21.4,24.4,17.4,18.4,84,71,11.4,24,14,31,15,7.6,9.4,,50,5,SC,20
13,1015.9,21.5,24.2,19.4,18.4,83,68,6.4,12,27,34,26,4.6,,,250,6,SC,20
14,1016.4,23.3,28.2,18.4,18.5,76,55,7.5,17,24,22,15,5.3,5.7,,15,9,FG,0
15,1015.4,24.6,28.5,21.7,19.1,72,58,10.1,19,13,26,14,6.6,1.9,,200,6,SC,25
16,1016.9,22.4,25.1,19.7,19.9,86,68,6.3,14,14,23,29,4.4,36.1,,150,5,SC,25
17,1017.7,22.7,27.6,18.4,20.0,85,65,5.8,10,18,24,5,4.3,,,5,5,SC,25
18,1012.4,22.4,24.8,18.1,19.1,82,55,9.9,16,29,25,27,6.6,16.9,,110,6,SC,20
19,1016.6,21.0,25.7,16.7,12.6,61,30,4.8,9,28,21,3,3.1,,,,6,CI,160
20,1014.7,17.9,20.7,15.6,14.3,80,61,5.3,20,12,25,13,7.4,10.4,,350,4,SC,25
21,1014.5,18.3,21.7,14.9,13.6,75,54,5.9,10,33,27,35,3.9,1.8,,200,7,CU,20
22,1016.8,18.6,23.0,13.7,12.7,70,51,6.2,10,5,21,7,1.0,,,700,,,
23,1017.0,20.8,25.4,17.2,15.2,71,50,4.9,9,12,15,31,3.2,,,300,5,AC,90
24,1020.5,21.1,25.1,16.8,16.2,75,57,5.6,10,5,19,1,1.3,,,230,,,
25,1022.3,21.5,25.7,17.0,15.2,69,39,4.2,10,4,25,6,5.3,,,210,7,AC,120
26,1019.4,21.1,23.6,18.6,13.5,63,49,5.7,11,13,18,16,6.2,,,700,7,AC,100
27,1016.1,20.4,24.4,16.8,15.9,76,57,5.0,12,28,25,30,1.9,,,450,5,AC,140
28,1015.3,21.3,25.3,17.4,15.6,71,56,5.4,14,4,17,6,5.8,,,600,6,AC,120
29,1015.7,21.8,27.0,17.6,14.3,64,45,8.1,14,5,23,5,0.4,,,900,,,
30,1019.1,21.5,26.5,17.0,14.7,67,39,3.8,10,11,16,32,3.6,,,600,6,AC,100
