DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1013.8,22.2,24.9,19.2,18.6,80,73,3.5,7,3,10,4,2.1,,,500,6,CI,180
2,1012.4,22.8,25.6,18.1,19.2,80,70,7.8,19,7,24,8,1.7,,,500,5,CI,200
3,1012.0,22.7,25.9,20.1,20.0,85,74,4.1,9,4,11,5,2.3,,,330,6,SC,30
4,1014.0,25.9,30.9,21.6,20.6,74,52,5.1,15,23,21,23,5.7,,,350,6,SC,30
5,1018.3,22.3,24.0,20.8,20.1,87,82,3.8,10,19,14,20,7.3,20.0,,320,6,SC,25
6,1019.0,21.9,24.3,20.1,16.8,73,58,3.0,6,36,9,33,2.5,,,,6,AC,110
7,1016.3,24.3,29.5,19.3,19.1,73,60,3.3,10,11,15,11,6.1,0.5,,600,6,SC,25
8,1014.1,23.2,26.8,20.9,20.2,84,66,5.5,16,22,22,23,6.0,0.5,,420,6,SC,25
9,1013.0,20.7,21.7,19.5,19.5,93,85,6.3,13,8,15,8,7.9,37.5,,330,5,ST,2
10,1013.2,21.2,23.7,19.5,19.2,89,76,6.5,12,7,14,8,5.9,10.0,,280,5,SC,20
11,1012.8,22.6,24.8,20.8,18.9,80,67,12.6,21,7,26,7,5.5,0.0,,600,5,SC,25
12,1010.5,23.1,25.7,20.6,18.3,75,61,9.5,16,7,20,7,4.5,,,600,3,AC,80
13,1009.4,23.1,26.6,21.3,20.3,85,63,4.2,10,28,15,33,7.7,0.5,,80,5,ST,2
14,1014.2,20.6,21.9,18.5,17.4,82,69,3.5,7,34,11,34,8.0,1.5,,600,5,SC,25
15,1016.1,20.3,22.7,17.5,17.2,83,71,7.7,16,9,23,10,7.9,6.0,,420,7,SC,20
16,1010.2,20.1,20.8,18.9,19.0,94,86,13.7,20,9,27,9,8.0,164.5,,110,5,SC,20
17,997.4,19.4,20.4,18.3,17.4,89,79,17.1,40,33,53,34,7.7,182.0,,40,6,SC,20
18,1007.5,20.5,23.3,17.8,16.6,79,65,7.9,12,26,17,27,4.3,,,600,5,AC,130
19,1011.7,19.7,23.8,16.4,14.2,71,58,7.2,12,27,19,28,1.6,,,,,,
20,1016.4,19.4,22.8,1.6,12.7,66,54,5.3,7,20,9,1,1.2,,,,,,
21,1016.4,19.5,22.1,16.0,13.9,70,60,4.3,7,19,10,19,4.4,,,,5,CI,200
22,1013.4,18.8,22.2,15.7,12.3,66,55,4.0,7,17,11,18,4.5,0.0,,700,8,AS,90
23,1012.0,19.6,23.2,15.9,15.1,76,69,4.5,6,18,9,3,1.0,,,700,,,
24,1014.2,20.2,23.7,17.4,15.7,76,66,7.8,16,7,19,8,3.3,,,600,7,CI,180
25,1018.9,20.5,24.1,17.6,15.4,73,63,12.5,22,7,28,9,2.2,,,600,,,
26,1019.9,20.5,23.7,18.1,16.3,77,68,12.6,20,7,26,8,4.4,,,600,6,SC,30
27,1017.7,20.7,23.1,18.7,16.7,78,68,9.8,17,7,20,8,4.5,,,600,4,SC,30
28,1013.9,20.9,24.5,16.8,15.6,72,58,5.8,11,34,16,28,4.9,0.0,,600,5,SC,25
29,1012.9,19.3,21.3,15.7,10.7,58,48,7.8,12,33,20,34,3.0,,,600,5,SC,30
30,1011.6,19.3,20.7,18.1,12.5,65,59,8.8,15,33,22,33,5.7,,,,5,SC,30
