DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1009.6,25.1,29.6,22.0,22.1,86,57,3.8,9,23,12,23,4.5,,,,5,SC,20
2,1012.0,23.7,28.3,20.8,22.3,93,69,5.5,13,36,18,32,5.4,23.0,,,5,SC,20
3,1011.7,23.6,27.7,20.2,22.3,93,74,5.5,12,33,16,33,3.3,,,,7,SC,20
4,1013.0,24.2,28.5,19.7,21.8,88,64,4.5,10,32,14,31,3.8,,,,6,CI,180
5,1008.5,22.3,26.6,18.9,21.0,93,70,5.6,10,15,14,15,8.0,4.5,,,7,SC,20
6,1005.2,22.7,27.2,18.9,20.2,87,70,6.2,12,34,16,33,4.9,0.0,,,7,SC,30
7,1011.2,22.6,26.8,18.0,18.7,80,60,4.0,8,29,12,29,3.4,,,,5,SC,25
8,1014.4,21.6,26.9,17.4,16.1,76,36,5.9,9,34,13,6,0.6,,,,,,
9,1015.2,20.6,25.8,15.2,16.1,79,51,5.6,11,33,16,33,1.8,,,,,,
10,1014.5,21.0,26.0,15.7,16.5,78,52,5.8,12,33,17,33,0.2,,,,,,
11,1011.6,21.7,26.4,16.2,19.5,88,67,4.8,9,26,14,25,4.2,0.0,,,5,SC,25
12,1010.7,20.6,22.5,16.9,19.0,91,72,5.3,12,35,16,35,7.2,1.0,,,5,SC,25
13,1017.5,20.0,24.2,15.2,14.4,72,46,6.8,13,35,19,34,1.0,,,,,,
14,1021.2,20.1,26.8,14.9,14.8,75,42,5.0,9,8,13,9,4.8,,,,5,CI,200
15,1019.7,20.6,26.4,15.0,14.9,73,46,6.0,12,9,17,11,4.5,,,,6,AC,150
16,1016.7,19.3,22.6,14.8,15.0,77,59,5.0,9,6,12,7,7.1,,,,7,AC,120
17,1015.7,20.2,25.0,14.8,16.4,81,53,6.2,13,34,17,34,0.2,,,,,,
18,1016.6,20.7,25.6,16.4,18.2,87,65,4.9,10,28,14,30,3.0,,,,5,CI,180
19,1014.5,20.2,25.1,15.6,17.8,88,65,4.3,9,34,13,32,4.1,,,,5,CI,180
20,1013.0,20.4,26.1,14.8,17.9,87,59,4.7,10,33,14,32,4.7,,,,5,CI,200
21,1014.3,21.1,26.2,15.9,18.6,88,65,4.1,8,31,11,34,2.4,,,,6,AC,150
22,1015.6,21.6,28.4,16.5,17.3,79,48,5.7,11,10,25,17,4.4,,,,9,FG,1
23,1010.0,19.0,20.4,17.6,18.3,96,81,6.0,12,8,15,8,8.0,9.0,,,7,SC,20
24,1006.6,21.1,26.1,16.2,19.5,92,75,5.3,11,33,16,33,5.8,,,,6,CI,180
25,1007.5,21.5,25.8,18.1,19.5,89,64,3.8,9,33,13,33,5.8,,,,7,CI,180
26,1011.4,20.4,24.9,16.4,18.8,91,72,5.7,13,34,18,34,3.4,,,,7,AC,120
27,1014.6,20.7,28.4,15.7,16.4,80,43,5.2,10,33,14,9,2.3,,,,5,CI,200
28,1018.2,21.2,28.7,14.4,16.2,76,39,4.4,10,6,13,5,4.5,,,,6,AC,150
29,1021.9,21.9,26.8,16.3,18.1,81,55,4.8,9,32,13,33,1.6,,,,5,AC,150
30,1020.8,19.1,21.0,17.6,17.1,89,71,8.7,14,12,22,13,7.7,4.5,,,5,SC,30
