DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1016.9,23.3,27.5,19.5,14.9,60,49,8.8,13,5,19,5,0.8,,,,,,
2,1016.7,23.3,27.7,20.3,15.0,61,41,7.2,13,5,18,5,2.4,,,,,,
3,1015.2,23.5,28.2,20.4,16.5,66,44,5.9,10,7,14,7,4.4,,,,6,AC,140
4,1011.8,24.0,27.4,21.0,19.0,74,58,4.2,10,7,13,8,4.8,,,,7,AS,120
5,1008.9,24.6,29.6,21.7,19.4,74,52,4.3,10,17,13,17,3.3,,,800,5,AC,120
6,1007.2,25.0,31.0,20.6,20.6,78,52,3.6,10,16,12,16,2.1,,,600,,,
7,1006.1,26.2,31.8,21.3,20.2,71,51,5.4,13,31,19,30,2.2,,,500,,,
8,1006.0,24.6,28.7,21.5,18.3,68,53,7.4,12,31,14,30,4.8,0.0,,,5,SC,25
9,1008.4,24.6,29.5,21.3,17.4,66,44,6.2,13,21,19,24,3.8,,,,8,AS,120
10,1009.9,22.9,29.4,17.2,15.0,63,34,4.8,10,29,13,31,2.0,,,,5,AC,130
11,1009.5,22.1,26.5,18.8,15.5,67,51,4.7,10,25,17,26,7.1,0.0,,,8,AS,80
12,1007.8,21.4,27.6,17.7,15.2,70,47,7.4,17,31,23,30,5.0,2.5,,,5,SC,25
13,1014.3,21.0,27.6,14.7,13.5,65,34,4.6,14,30,17,30,1.6,,,,,,
14,1013.9,20.8,23.6,17.5,15.9,74,62,3.9,7,31,11,30,6.8,0.0,,,7,AC,110
15,1011.5,22.5,28.8,17.0,13.5,60,35,5.9,10,32,14,23,2.4,,,,5,AC,130
16,1013.5,22.0,29.1,16.7,13.3,61,28,5.0,11,16,13,15,4.1,,,700,6,AC,120
17,1014.2,22.2,28.0,17.8,15.0,66,40,5.1,9,15,13,14,2.6,,,500,5,CI,200
18,1013.1,23.2,30.6,17.2,14.8,62,33,4.7,11,18,14,17,0.1,,,,,,
19,1013.8,22.6,26.9,19.6,12.9,56,37,8.8,14,5,19,5,0.5,,,,,,
20,1014.7,21.2,25.9,16.6,12.8,60,43,6.2,13,5,17,6,2.8,,,,5,CI,200
21,1014.3,20.5,24.0,17.5,15.9,76,55,4.3,9,32,13,30,7.5,0.7,,800,7,AS,120
22,1016.5,21.4,25.7,16.9,16.3,74,54,4.5,9,7,12,7,6.9,,,,7,AC,100
23,1017.5,22.4,26.8,19.9,19.3,83,61,3.9,9,16,10,3,5.1,5.0,,600,4,SC,25
24,1017.8,23.3,29.1,19.0,19.4,80,58,3.5,11,16,14,15,3.9,,,600,4,SC,30
25,1016.2,22.4,25.3,20.8,19.6,85,66,3.5,7,31,10,5,7.4,2.9,,600,5,SC,25
26,1016.4,23.6,28.5,19.6,18.2,74,48,6.0,10,18,14,9,5.4,,,240,3,SC,25
27,1015.7,20.8,23.4,19.0,17.8,83,71,7.9,12,7,18,5,8.0,31.1,,500,6,SC,20
28,1014.2,22.0,25.6,20.2,18.0,79,64,5.8,10,9,14,9,6.4,,,,4,SC,25
29,1018.6,22.4,25.1,19.2,17.2,73,62,5.8,9,9,13,6,7.7,0.0,,,8,AS,90
30,1019.7,21.9,23.8,20.6,17.1,74,67,6.2,10,5,15,5,7.1,0.3,,,5,SC,25
