"SDT_YY","SDT_MM","ARP","DATE","PS_AVG","WSPD_AVG","WSPD_MAX","WSPD_INS","CA_TOT_AVG","RN_SUM","VIS_MNM","CLA","BASE","MIST","HM_INV"
2017,1,"ARP1",1,1028.2,3.6,7,11,5.2,0,250,6,30,-2.1,0.0142857142857143
2017,1,"ARP1",2,1022.9,5,9,13,5.3,0,50,6,5,-2.7,0.0136986301369863
2017,1,"ARP1",3,1024.6,3.2,9,12,0.4,0,50,0,0,0.4,0.0158730158730159
2017,1,"ARP1",4,1024.3,4.1,10,14,2.3,0,280,0,0,2.4,0.0163934426229508
2017,1,"ARP1",5,1027.5,5.1,12,17,6.2,0,800,6,140,2.3,0.0185185185185185
2017,1,"ARP1",6,1027.1,4.5,9,13,2.8,0,600,5,140,3.3,0.0185185185185185
2017,1,"ARP1",7,1022.1,3.2,6,9,3.4,0,30,5,110,-0.2,0.0142857142857143
2017,1,"ARP1",8,1015.2,4.5,8,11,5.9,0,500,5,30,1.3,0.015625
2017,1,"ARP1",9,1017.7,7.9,15,20,2.8,0,380,7,30,2.6,0.0181818181818182
2017,1,"ARP1",10,1024.5,7.2,17,23,0.8,0,1000,6,180,6.3,0.0222222222222222
2017,1,"ARP1",11,1025.9,3.8,12,17,1.8,0,1000,5,40,6.3,0.0263157894736842
2017,1,"ARP1",12,1019.1,7.1,17,22,2.6,0,400,7,35,6.7,0.0222222222222222
2017,1,"ARP1",13,1018.3,6.3,18,25,2.3,0,220,7,25,6.5,0.0208333333333333
2017,1,"ARP1",14,1026.3,11.4,20,27,0,0,1000,0,0,11.9,0.0294117647058824
2017,1,"ARP1",15,1029,5.6,9,18,0,0,1000,0,0,7.6,0.0263157894736842
2017,1,"ARP1",16,1029.9,2.5,6,11,0,0,1000,0,0,2.8,0.0212765957446809
2017,1,"ARP1",17,1031.9,2.6,5,10,2.3,0,700,6,35,1,0.0175438596491228
2017,1,"ARP1",18,1030.9,2.9,7,10,3.8,0,270,6,30,0.0999999999999996,0.0151515151515152
2017,1,"ARP1",19,1024.7,3.3,11,15,5.3,0,230,5,25,2.2,0.0169491525423729
2017,1,"ARP1",20,1022.5,7.3,18,24,3.9,4,50,5,25,-1.5,0.0158730158730159
2017,1,"ARP1",21,1027,3.7,18,30,4.5,2.3,10,8,20,-3,0.0136986301369863
2017,1,"ARP1",22,1028.3,8.5,20,27,0.2,0,300,5,80,4.9,0.0208333333333333
2017,1,"ARP1",23,1032.1,4.3,11,16,0,0,800,0,0,3.7,0.0212765957446809
2017,1,"ARP1",24,1035,2.6,7,9,0,0,150,0,0,0.100000000000001,0.0178571428571429
2017,1,"ARP1",25,1035.1,2,6,9,0,0,120,0,0,-0.200000000000001,0.0175438596491228
2017,1,"ARP1",26,1027.3,6.5,16,26,4.7,1,280,6,25,-4.2,0.0151515151515152
2017,1,"ARP1",27,1027.5,9,19,29,2,4,180,5,30,5.8,0.0217391304347826
2017,1,"ARP1",28,1027.8,3.3,7,11,3.4,0,1000,7,110,3.2,0.0208333333333333
2017,1,"ARP1",29,1019.6,4.8,13,25,7.8,3.5,60,6,20,4.3,0.0138888888888889
2017,1,"ARP1",30,1025.6,7.6,14,19,1.5,0,500,5,40,3.4,0.0175438596491228
2017,1,"ARP1",31,1030,3.5,7,10,2.4,0,1000,5,150,4,0.0196078431372549
2017,2,"ARP1",1,1029.6,7.1,16,23,1.2,0,1000,0,0,5.7,0.0204081632653061
2017,2,"ARP1",2,1031,3.8,10,15,0.5,0,1000,0,0,0.9,0.0196078431372549
2017,2,"ARP1",3,1027.3,3,9,15,1.8,0,50,6,30,-0.3,0.0151515151515152
2017,2,"ARP1",4,1021.6,2.8,6,7,5.4,0,50,8,70,-2,0.0136986301369863
2017,2,"ARP1",5,1014.3,5,10,15,6.3,0.5,220,5,25,1.5,0.0136986301369863
2017,2,"ARP1",6,1022.6,8.8,14,23,0,0,800,0,0,7.1,0.0204081632653061
2017,2,"ARP1",7,1026.1,3.6,7,10,4.2,0,1000,5,120,6,0.0217391304347826
2017,2,"ARP1",8,1020.1,4.1,13,19,5,0,1000,8,120,5,0.0204081632653061
2017,2,"ARP1",9,1016.7,9.6,16,24,1.5,0,1000,6,30,9.1,0.0238095238095238
2017,2,"ARP1",10,1019,10.4,16,23,0.9,0,1000,0,0,9,0.0256410256410256
2017,2,"ARP1",11,1024.8,8.3,17,23,0.2,0,1000,0,0,6.8,0.024390243902439
2017,2,"ARP1",12,1029.1,3.3,10,19,0,0,1000,0,0,2,0.0188679245283019
2017,2,"ARP1",13,1030.8,2.7,8,21,2.8,0,500,6,25,-0.799999999999999,0.0161290322580645
2017,2,"ARP1",14,1033.1,4.1,9,13,0,0,500,0,0,4.4,0.0208333333333333
2017,2,"ARP1",15,1030.4,3.9,7,15,0,0,700,0,0,1.8,0.0181818181818182
2017,2,"ARP1",16,1020.1,5.6,12,21,4.4,0,250,7,25,-5.5,0.0158730158730159
2017,2,"ARP1",17,1021.8,10.6,18,26,3.5,3.5,180,6,25,3.3,0.0192307692307692
2017,2,"ARP1",18,1026.5,5.3,13,22,0.2,0,1000,0,0,5.5,0.0227272727272727
2017,2,"ARP1",19,1016.3,7.3,15,22,6.1,4,170,6,20,-0.5,0.0158730158730159
2017,2,"ARP1",20,1017.6,13.2,20,30,2.3,0,80,6,20,4.6,0.0196078431372549
2017,2,"ARP1",21,1030,3.4,9,13,2.6,0,1000,5,130,5,0.0238095238095238
2017,2,"ARP1",22,1017.1,6.6,15,21,7.8,3,120,6,20,3.1,0.0142857142857143
2017,2,"ARP1",23,1019.5,11.5,20,28,0.8,0,800,0,0,5.8,0.0196078431372549
2017,2,"ARP1",24,1024.8,4.5,12,19,0.8,0,800,0,0,3.9,0.0204081632653061
2017,2,"ARP1",25,1022.3,5.1,11,26,0.8,0,10,0,0,-1.5,0.0161290322580645
2017,2,"ARP1",26,1025,5,11,18,0.3,0,20,0,0,0.899999999999999,0.0175438596491228
2017,2,"ARP1",27,1027.6,3.4,9,14,0,0,1000,0,0,4.2,0.0212765957446809
2017,2,"ARP1",28,1025.2,4.1,10,18,1,0,1000,7,180,2.1,0.0217391304347826
2017,3,"ARP1",1,1017.3,5.6,19,24,7.5,6,160,6,20,4.8,0.0175438596491228
2017,3,"ARP1",2,1016.2,7.8,12,18,2.2,0.5,160,7,25,4.5,0.0178571428571429
2017,3,"ARP1",3,1020.6,4.9,11,25,1,0,1000,0,0,0.4,0.0178571428571429
2017,3,"ARP1",4,1019.5,2.8,9,12,0.5,0,120,0,0,-0.9,0.0153846153846154
2017,3,"ARP1",5,1016.9,4.2,13,18,5.1,0,10,9,1,-1.3,0.0138888888888889
2017,3,"ARP1",6,1017.3,10.2,21,33,1,0,350,6,90,9.8,0.025
2017,3,"ARP1",7,1017.4,8.7,17,26,1.2,0,1000,6,90,10,0.027027027027027
2017,3,"ARP1",8,1015.3,6.6,15,33,1.3,0,400,5,30,2.4,0.0204081632653061
2017,3,"ARP1",9,1013.1,7.5,17,25,0.3,0,800,0,0,2.2,0.0208333333333333
2017,3,"ARP1",10,1019.5,3.4,11,16,0.2,0,800,0,0,3.3,0.0217391304347826
2017,3,"ARP1",11,1023.4,3.5,13,18,1.9,0,600,6,180,1.7,0.0185185185185185
2017,3,"ARP1",12,1021.3,4.3,14,20,6.5,0,330,6,70,1.6,0.0161290322580645
2017,3,"ARP1",13,1019.2,5.9,12,17,1.3,0,330,5,200,3.8,0.0204081632653061
2017,3,"ARP1",14,1019.3,8.8,17,27,0.7,0,1000,6,200,7.9,0.027027027027027
2017,3,"ARP1",15,1023.4,4.5,13,18,0.5,0,1000,0,0,7,0.0256410256410256
2017,3,"ARP1",16,1022.2,3.3,12,17,2.2,0,600,5,200,2.9,0.0204081632653061
2017,3,"ARP1",17,1023.9,3.8,12,17,1,0,30,5,200,1.7,0.0188679245283019
2017,3,"ARP1",18,1024.8,4.5,15,21,2.6,0,500,6,110,7.6,0.0232558139534884
2017,3,"ARP1",19,1025.9,3,7,14,0.1,0,20,0,0,1.5,0.0188679245283019
2017,3,"ARP1",20,1019.7,2.8,12,17,5.9,0,280,7,120,2.1,0.0181818181818182
2017,3,"ARP1",21,1016.6,7,15,23,1.4,0,150,8,120,6.2,0.0217391304347826
2017,3,"ARP1",22,1021.2,3.8,11,17,1.9,0,1000,7,180,4.8,0.025
2017,3,"ARP1",23,1020.8,4.6,14,19,4,0,800,7,180,7.6,0.0232558139534884
2017,3,"ARP1",24,1021.4,4.1,11,19,5.7,0,900,5,200,2.8,0.0208333333333333
2017,3,"ARP1",25,1019.8,4.8,13,21,5.2,0,800,7,80,6.7,0.0222222222222222
2017,3,"ARP1",26,1018.9,4.9,12,18,5.5,0,400,3,30,3.5,0.0178571428571429
2017,3,"ARP1",27,1020.2,5.7,22,31,4.7,0,350,5,20,1.6,0.0161290322580645
2017,3,"ARP1",28,1023.4,4.5,9,18,4.1,0,10,7,180,-0.5,0.0163934426229508
